AOI,NAME,NAME_1,NonHispanicBlackAfricanAmerican2022Percentage,NeighborhoodAreaFt,AllSingleFamParcelsCount,CorpSspctParcelsCount,ProportionSingFamParcelsCorpSspct,ProportionSingleFamilyAreaCorpSspct,ProportionNeighborhoodAreaCorpSspct,CorpSspct_AreaFeetSum,CorpSspct_AreaFeetMin,CorpSspct_AreaFeetMax,CorpSspct_AreaFeetRange,CorpSspct_AreaFeetMean,CorpSspct_AreaFeetMedian,CorpSspct_AreaFeetStddev,CorpSspct_AreaFeetQ1,CorpSspct_AreaFeetQ3,CorpSspct_AreaFeetIqr,NotCorpSspctAreaFeet_Sum,NotCorpSspctAreaFeet_Min,NotCorpSspctAreaFeet_Max,NotCorpSspctAreaFeet_Range,NotCorpSspctAreaFeet_Mean,NotCorpSspctAreaFeet_Median,NotCorpSspctAreaFeet_Stddev,NotCorpSspctAreaFeet_Q1,NotCorpSspctAreaFeet_Q3,NotCorpSspctAreaFeet_Iqr
,Heritage Valley,Heritage Valley,94.9,10595220.81,390,30,0.076923077,0.106884736,0.096445238,1021858.598,8088.09375,416156.8999,408068.8062,30965.41206,17823.25415,68525.52987,15450.27271,21855.61938,6405.34668,8538520.549,4205.428223,427796.9937,423591.5654,21507.60844,17916.12915,26636.39644,14987.19263,20140.05396,5152.861328
,High Point,High Point,92.3,2840400.252,115,2,0.017391304,0.006647531,0.003721196,10569.68604,4911.942383,5657.743652,745.8012695,5284.843018,5284.843018,372.9006348,4911.942383,5657.743652,745.8012695,1579447.093,658.8916016,300607.3262,299948.4346,13977.4079,6333.106689,36155.59112,5213.594727,8719.846436,3506.251709
,Hills Park,Hills Park,31.1,42200629.7,289,39,0.134948097,0.351696253,0.141262353,5961360.257,3972.121826,5364930.565,5360958.443,152855.3912,8091.640137,845803.3644,7502.594727,11990.13782,4487.543091,10988949.02,1208.957275,2420847.263,2419638.306,43606.94056,8129.447388,264713.3778,7422.546875,10403.24878,2980.701904
,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,18124781.31,590,240,0.406779661,0.316014768,0.11592288,2101076.841,1830.988281,298786.1563,296955.168,8754.486837,5964.127075,21566.56178,4898.915405,8001.028931,3102.113525,4547589.785,972.1293945,1350300.901,1349328.771,12993.11367,5987.697632,80622.49644,4835.567139,8577.362061,3741.794922
,Horseshoe Community,Horseshoe Community,92.1,1501450.804,51,4,0.078431373,0.033117535,0.099116093,148817.9377,24946.18237,37060.28809,12114.10571,29763.58755,30262.27808,4219.807928,26286.91113,30262.27808,3975.366943,4344811.75,16391.93018,1304146.53,1287754.6,78996.57728,25276.28662,239629.5227,23548.11804,30740.6189,7192.500854
,Hunter Hills,Hunter Hills,77.4,14051489.9,1073,240,0.223671948,0.176027139,0.146202144,2054357.951,3911.015137,26568.83154,22657.81641,8559.824798,7343.802856,3078.241646,6629.987549,9744.004028,3114.016479,9616330.789,1016.373779,1325617.873,1324601.499,11530.37265,7353.152588,48240.11429,6386.742188,9262.427246,2875.685059
,Huntington,Huntington,98,1499296.354,55,7,0.127272727,0.116231971,0.100579488,150798.4602,10822.67285,40083.4939,29260.82104,21542.63717,17878.55103,9399.882854,15200.6698,25806.20142,10605.53162,1146593.803,8917.858154,51918.90698,43001.04883,23887.3709,23250.96375,9381.052193,19263.91553,26290.76538,7026.849854
,Ivan Hill,Ivan Hill,89.2,2815961.534,89,8,0.08988764,0.101575004,0.109109632,307248.5276,19371.28101,104652.2981,85281.01709,38406.06595,30240.27588,25753.72482,24079.9502,37292.24817,13212.29797,2717595.343,7216.60498,174059.2971,166842.6921,33550.55979,30263.45239,21722.55157,22373.54614,36155.55249,13782.00635
,Joyland,Joyland,92.3,3762424.056,284,49,0.172535211,0.18523505,0.118210628,444758.511,3328.190186,79418.375,76090.18481,9076.704306,5528.71167,13261.66047,4541.320557,7550.408691,3009.088135,1956290.922,1693.333008,78228.26221,76534.9292,8324.64222,5834.142822,9138.704328,4922.64563,7969.759155,3047.113525
,Kings Forest,Kings Forest,92.1,18253392.83,397,34,0.085642317,0.23952255,0.233370837,4259809.559,10331.46118,928972.3279,918640.8667,112100.2515,19010.79797,242785.8853,17614.79541,28021.89941,10407.104,13524777.16,8657.740967,500537.5098,491879.7688,35405.17582,19571.88989,54077.53244,17959.67505,24969.7937,7010.118652
,Kingswood,Kingswood,6.9,17450447.82,253,17,0.067193676,0.112165991,0.127124477,2218379.056,15268.98413,480429.9346,465160.9504,130492.8856,46891.80713,156404.8584,43970.00049,140462.4399,96492.43945,17559265.06,12830.97021,1173384.589,1160553.618,74403.66552,46619.104,108516.5801,43648.13086,57077.91772,13429.78687
,Kirkwood,Kirkwood,26.4,42111671.85,2640,193,0.073106061,0.111781376,0.083293703,3507637.091,782.2590332,319922.5095,319140.2505,17896.10761,8136.472534,39150.64571,6488.069336,11471.64697,4983.577637,27871803.8,12.62353516,821569.0667,821556.4431,11279.56447,8317.814453,28024.11803,7132.462402,10306.91504,3174.452637
